model,file,token_count
openai/gpt-oss-20b,ace_Arab.dev,66308
openai/gpt-oss-20b,ace_Latn.dev,45928
openai/gpt-oss-20b,acm_Arab.dev,35545
openai/gpt-oss-20b,acq_Arab.dev,35501
openai/gpt-oss-20b,aeb_Arab.dev,36476
openai/gpt-oss-20b,afr_Latn.dev,36406
openai/gpt-oss-20b,aka_Latn.dev,53203
openai/gpt-oss-20b,als_Latn.dev,46809
openai/gpt-oss-20b,amh_Ethi.dev,151003
openai/gpt-oss-20b,apc_Arab.dev,34679
openai/gpt-oss-20b,arb_Arab.dev,35325
openai/gpt-oss-20b,arb_Latn.dev,57365
openai/gpt-oss-20b,ars_Arab.dev,35443
openai/gpt-oss-20b,ary_Arab.dev,38024
openai/gpt-oss-20b,arz_Arab.dev,36023
openai/gpt-oss-20b,asm_Beng.dev,51251
openai/gpt-oss-20b,ast_Latn.dev,36101
openai/gpt-oss-20b,awa_Deva.dev,43780
openai/gpt-oss-20b,ayr_Latn.dev,49305
openai/gpt-oss-20b,azb_Arab.dev,47601
openai/gpt-oss-20b,azj_Latn.dev,43693
openai/gpt-oss-20b,bak_Cyrl.dev,44833
openai/gpt-oss-20b,bam_Latn.dev,52160
openai/gpt-oss-20b,ban_Latn.dev,40723
openai/gpt-oss-20b,bel_Cyrl.dev,51538
openai/gpt-oss-20b,bem_Latn.dev,50111
openai/gpt-oss-20b,ben_Beng.dev,43692
openai/gpt-oss-20b,bho_Deva.dev,45078
openai/gpt-oss-20b,bjn_Arab.dev,64897
openai/gpt-oss-20b,bjn_Latn.dev,36871
openai/gpt-oss-20b,bod_Tibt.dev,208624
openai/gpt-oss-20b,bos_Latn.dev,38317
openai/gpt-oss-20b,bug_Latn.dev,45244
openai/gpt-oss-20b,bul_Cyrl.dev,43817
openai/gpt-oss-20b,cat_Latn.dev,37680
openai/gpt-oss-20b,ceb_Latn.dev,42531
openai/gpt-oss-20b,ces_Latn.dev,40788
openai/gpt-oss-20b,cjk_Latn.dev,45101
openai/gpt-oss-20b,ckb_Arab.dev,70396
openai/gpt-oss-20b,crh_Latn.dev,44191
openai/gpt-oss-20b,cym_Latn.dev,44025
openai/gpt-oss-20b,dan_Latn.dev,35616
openai/gpt-oss-20b,deu_Latn.dev,33280
openai/gpt-oss-20b,dik_Latn.dev,47996
openai/gpt-oss-20b,dyu_Latn.dev,47142
openai/gpt-oss-20b,dzo_Tibt.dev,235275
openai/gpt-oss-20b,ell_Grek.dev,54532
openai/gpt-oss-20b,eng_Latn.dev,25543
openai/gpt-oss-20b,epo_Latn.dev,39236
openai/gpt-oss-20b,est_Latn.dev,37953
openai/gpt-oss-20b,eus_Latn.dev,41076
openai/gpt-oss-20b,ewe_Latn.dev,60622
openai/gpt-oss-20b,fao_Latn.dev,41848
openai/gpt-oss-20b,fij_Latn.dev,46695
openai/gpt-oss-20b,fin_Latn.dev,39818
openai/gpt-oss-20b,fon_Latn.dev,73239
openai/gpt-oss-20b,fra_Latn.dev,34389
openai/gpt-oss-20b,fur_Latn.dev,44126
openai/gpt-oss-20b,fuv_Latn.dev,41237
openai/gpt-oss-20b,gaz_Latn.dev,48118
openai/gpt-oss-20b,gla_Latn.dev,50815
