model,file,token_count,iso_script,iso_639_3,script,name,cc_pages,speakers,script_prevalence,cc_spk_rank
openai/gpt-oss-20b,ace_Arab.dev,66308,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
CohereLabs/command-a-plus-05-2026-bf16,ace_Arab.dev,71053,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
meta-llama/Llama-4-Scout-17B-16E-Instruct,ace_Arab.dev,68942,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
zai-org/GLM-5.3,ace_Arab.dev,67600,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
google/gemma-3-4b-it,ace_Arab.dev,58480,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,ace_Arab.dev,1163,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
ibm-granite/granite-4.1-8b,ace_Arab.dev,96931,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
CohereLabs/c4ai-command-a-03-2025,ace_Arab.dev,73121,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
Qwen/Qwen3.6-35B-A3B,ace_Arab.dev,72498,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
facebook/nllb-moe-54b,ace_Arab.dev,54644,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,ace_Arab.dev,65239,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
meta-llama/Llama-3.3-70B-Instruct,ace_Arab.dev,73462,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
allenai/Olmo-3-1125-32B,ace_Arab.dev,96931,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
allenai/Olmo-3.1-32B-Instruct,ace_Arab.dev,96931,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
meta-llama/Llama-3.2-3B-Instruct,ace_Arab.dev,73462,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,ace_Arab.dev,69152,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
CohereLabs/tiny-aya-base,ace_Arab.dev,67519,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
deepseek-ai/DeepSeek-V4-Flash,ace_Arab.dev,69427,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
