model,N,gini
openai/gpt-oss-20b,2,0.08893770417933977
openai/gpt-oss-20b,3,0.07722431241856098
openai/gpt-oss-20b,4,0.0978678796320478
openai/gpt-oss-20b,5,0.08611590113392897
openai/gpt-oss-20b,6,0.07706117570463067
openai/gpt-oss-20b,7,0.07223678031173186
openai/gpt-oss-20b,8,0.06788665879574962
openai/gpt-oss-20b,9,0.06704686979296692
openai/gpt-oss-20b,10,0.06526301055075034
openai/gpt-oss-20b,11,0.07105685866993894
openai/gpt-oss-20b,12,0.07007072324846719
openai/gpt-oss-20b,13,0.06709812429942219
openai/gpt-oss-20b,14,0.0691666172147627
openai/gpt-oss-20b,15,0.0687440212420074
openai/gpt-oss-20b,16,0.06736567434622498
openai/gpt-oss-20b,17,0.06566768444302817
openai/gpt-oss-20b,18,0.07178671902448097
openai/gpt-oss-20b,19,0.06988050836766502
openai/gpt-oss-20b,20,0.06786623424733174
openai/gpt-oss-20b,21,0.08645489772676851
openai/gpt-oss-20b,22,0.08618224688506348
openai/gpt-oss-20b,23,0.0838804963363684
openai/gpt-oss-20b,24,0.08657231566553092
openai/gpt-oss-20b,25,0.08503151705515588
openai/gpt-oss-20b,26,0.09413665108605995
openai/gpt-oss-20b,27,0.0937067611645217
openai/gpt-oss-20b,28,0.09200876268219815
openai/gpt-oss-20b,29,0.09596405993786572
openai/gpt-oss-20b,30,0.09475315069921586
openai/gpt-oss-20b,31,0.09438821294640509
openai/gpt-oss-20b,32,0.09266443099011723
openai/gpt-oss-20b,33,0.09303284625209796
openai/gpt-oss-20b,34,0.09158922327187158
openai/gpt-oss-20b,35,0.09005238917094793
openai/gpt-oss-20b,36,0.0885598751256742
openai/gpt-oss-20b,37,0.08810583405898598
openai/gpt-oss-20b,38,0.08672620772469686
openai/gpt-oss-20b,39,0.08536560524470516
openai/gpt-oss-20b,40,0.08499831232691779
openai/gpt-oss-20b,41,0.08582120090861745
openai/gpt-oss-20b,42,0.08609492624293336
openai/gpt-oss-20b,43,0.08512765338632877
openai/gpt-oss-20b,44,0.08397908530386089
openai/gpt-oss-20b,45,0.08504484202833273
openai/gpt-oss-20b,46,0.08560122079546395
openai/gpt-oss-20b,47,0.08749223722394661
openai/gpt-oss-20b,48,0.08747056917184737
openai/gpt-oss-20b,49,0.08647128175874608
openai/gpt-oss-20b,50,0.08551418526760002
openai/gpt-oss-20b,51,0.08456534702483709
openai/gpt-oss-20b,52,0.0843581669467679
openai/gpt-oss-20b,53,0.08358571651708901
openai/gpt-oss-20b,54,0.0839051513481126
openai/gpt-oss-20b,55,0.08386133219432179
openai/gpt-oss-20b,56,0.08392981818098755
openai/gpt-oss-20b,57,0.08360248612499466
openai/gpt-oss-20b,58,0.08462656205104135
openai/gpt-oss-20b,59,0.08547126885208733
openai/gpt-oss-20b,60,0.0866730538237146
openai/gpt-oss-20b,61,0.08686514331704331
openai/gpt-oss-20b,62,0.08794971099108406
openai/gpt-oss-20b,63,0.0988746096047981
openai/gpt-oss-20b,64,0.09864363211371119
openai/gpt-oss-20b,65,0.09802186270401725
openai/gpt-oss-20b,66,0.09715273539299085
openai/gpt-oss-20b,67,0.09632112730273734
openai/gpt-oss-20b,68,0.10710615852256411
openai/gpt-oss-20b,69,0.10647093901597127
openai/gpt-oss-20b,70,0.10559657314841919
openai/gpt-oss-20b,71,0.11101299734912673
openai/gpt-oss-20b,72,0.1106501031934537
openai/gpt-oss-20b,73,0.1147327074550808
openai/gpt-oss-20b,74,0.11384337912473241
openai/gpt-oss-20b,75,0.1332959093621071
openai/gpt-oss-20b,76,0.13235638957848073
openai/gpt-oss-20b,77,0.13154947227119984
openai/gpt-oss-20b,78,0.13143679758398363
openai/gpt-oss-20b,79,0.1307505828460993
openai/gpt-oss-20b,80,0.12971331749922488
openai/gpt-oss-20b,81,0.12866677033987162
openai/gpt-oss-20b,82,0.163484478368781
openai/gpt-oss-20b,83,0.16220247417218503
openai/gpt-oss-20b,84,0.16093243180526384
openai/gpt-oss-20b,85,0.17909942278826385
