model,gini_5,gini_10,gini_20,gini_50,gini_100,gini_150,gini_200,gini_203
facebook/nllb-moe-54b,0.07,0.06,0.06,0.07,0.07,0.07,0.09,0.08
facebook/nllb-200-3.3B,0.07,0.06,0.06,0.07,0.07,0.07,0.09,0.08
gemini-3.8-flash,0.06,0.05,0.06,0.1,0.13,0.13,0.15,0.15
gemini-3.1-pro-preview,0.06,0.05,0.06,0.1,0.13,0.13,0.15,0.15
google/gemma-4-E4B-it,0.06,0.05,0.06,0.1,0.13,0.13,0.15,0.15
google/gemma-3-4b-it,0.06,0.05,0.06,0.1,0.13,0.13,0.15,0.15
moonshotai/Kimi-K3,0.11,0.11,0.12,0.15,0.19,0.18,0.2,0.2
claude-opus-4-8,0.1,0.08,0.08,0.13,0.2,0.18,0.21,0.2
meta-models/Muse-Glimmer-30B,0.05,0.05,0.06,0.12,0.19,0.18,0.21,0.21
meta-llama/Llama-4-Scout-17B-16E-Instruct,0.05,0.05,0.06,0.12,0.19,0.18,0.21,0.21
claude-fable-5,0.1,0.08,0.08,0.13,0.2,0.18,0.21,0.2
deepseek-ai/DeepSeek-V4.1-Flash,0.07,0.09,0.11,0.15,0.23,0.22,0.23,0.23
deepseek-ai/DeepSeek-V4-Flash,0.07,0.09,0.11,0.15,0.23,0.22,0.23,0.23
gpt-5,0.09,0.07,0.07,0.09,0.16,0.19,0.24,0.23
openai/gpt-oss-20b,0.09,0.07,0.07,0.09,0.16,0.19,0.24,0.23
gpt-6-astra,0.09,0.07,0.07,0.09,0.16,0.19,0.24,0.23
Qwen/Qwen3.6-35B-A3B,0.06,0.07,0.08,0.17,0.23,0.23,0.26,0.26
Qwen/Qwen3-8B,0.09,0.1,0.1,0.24,0.31,0.28,0.28,0.28
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0.09,0.1,0.1,0.24,0.31,0.28,0.28,0.28
CohereLabs/command-a-plus-05-2026-bf16,0.07,0.06,0.08,0.16,0.31,0.29,0.31,0.3
mistralai/Ministral-3-8B-Instruct-2512,0.08,0.06,0.06,0.1,0.3,0.3,0.31,0.3
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,0.08,0.06,0.06,0.1,0.3,0.3,0.31,0.3
zai-org/GLM-5.3,0.06,0.07,0.08,0.24,0.34,0.31,0.31,0.3
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,0.08,0.06,0.06,0.1,0.3,0.3,0.31,0.3
meta-llama/Llama-2-7b-hf,0.13,0.12,0.16,0.24,0.35,0.32,0.32,0.32
ibm-granite/granite-4.1-8b,0.17,0.13,0.14,0.27,0.35,0.33,0.33,0.33
microsoft/phi-4,0.17,0.13,0.14,0.27,0.35,0.33,0.33,0.33
allenai/Olmo-3.1-32B-Instruct,0.17,0.13,0.14,0.27,0.35,0.33,0.33,0.33
CohereLabs/c4ai-command-r-08-2024,0.05,0.05,0.06,0.26,0.36,0.33,0.33,0.33
CohereLabs/c4ai-command-a-03-2025,0.05,0.05,0.06,0.26,0.36,0.33,0.33,0.33
allenai/Olmo-3-1125-32B,0.17,0.13,0.14,0.27,0.35,0.33,0.33,0.33
CohereLabs/aya-expanse-8b,0.05,0.05,0.06,0.26,0.36,0.33,0.33,0.33
ibm-granite/granite-4.1-3b,0.17,0.13,0.14,0.27,0.35,0.33,0.33,0.33
CohereLabs/tiny-aya-base,0.07,0.06,0.06,0.28,0.35,0.35,0.34,0.34
meta-llama/Llama-3.3-70B-Instruct,0.07,0.06,0.06,0.25,0.36,0.34,0.34,0.33
meta-llama/Llama-3.2-3B-Instruct,0.07,0.06,0.06,0.25,0.36,0.34,0.34,0.33
tiiuae/Falcon3-7B-Instruct,0.29,0.24,0.23,0.29,0.36,0.35,0.34,0.34
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,0.42,0.41,0.36,0.4,0.44,0.44,0.39,0.39
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,0.43,0.42,0.37,0.41,0.45,0.45,0.4,0.39
