model,count_sub2,pct_sub2,count_sub3,pct_sub3,lastrank_grade_A,lastrank_grade_A_pct,firstrank_grade_B,lastrank_grade_A_iso_script,lastrank_grade_A_name,firstrank_grade_B_iso_script,firstrank_grade_B_name
CohereLabs/aya-expanse-8b,116,0.5714,161,0.7931,28.0,0.1379,29.0,fin_Latn,Finnish,tha_Thai,Thai
CohereLabs/c4ai-command-a-03-2025,116,0.5714,161,0.7931,28.0,0.1379,29.0,fin_Latn,Finnish,tha_Thai,Thai
CohereLabs/c4ai-command-r-08-2024,116,0.5714,161,0.7931,28.0,0.1379,29.0,fin_Latn,Finnish,tha_Thai,Thai
CohereLabs/command-a-plus-05-2026-bf16,109,0.5369,176,0.867,47.0,0.2315,48.0,tam_Taml,Tamil,kat_Geor,Georgian
CohereLabs/tiny-aya-base,127,0.6256,163,0.803,28.0,0.1379,29.0,fin_Latn,Finnish,tha_Thai,Thai
Qwen/Qwen3-8B,81,0.399,157,0.7734,25.0,0.1232,26.0,pes_Arab,Iranian Persian,ell_Grek,Greek
Qwen/Qwen3.6-35B-A3B,92,0.4532,164,0.8079,33.0,0.1626,34.0,srp_Cyrl,Serbian,hin_Deva,Hindi
allenai/Olmo-3-1125-32B,58,0.2857,139,0.6847,19.0,0.0936,20.0,swe_Latn,Swedish,arb_Arab,Standard Arabic
allenai/Olmo-3.1-32B-Instruct,58,0.2857,139,0.6847,19.0,0.0936,20.0,swe_Latn,Swedish,arb_Arab,Standard Arabic
claude-fable-5,134,0.6601,183,0.9015,46.0,0.2266,47.0,als_Latn,Tosk Albanian,tam_Taml,Tamil
claude-opus-4-8,134,0.6601,183,0.9015,46.0,0.2266,47.0,als_Latn,Tosk Albanian,tam_Taml,Tamil
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,1,0.0049,1,0.0049,,,,,,,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1,0.0049,1,0.0049,,,,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,81,0.399,157,0.7734,25.0,0.1232,26.0,pes_Arab,Iranian Persian,ell_Grek,Greek
deepseek-ai/DeepSeek-V4-Flash,67,0.33,162,0.798,42.0,0.2069,43.0,zsm_Latn,Standard Malay,npi_Deva,Nepali
deepseek-ai/DeepSeek-V4.1-Flash,67,0.33,162,0.798,42.0,0.2069,43.0,zsm_Latn,Standard Malay,npi_Deva,Nepali
facebook/nllb-200-3.3B,194,0.9557,203,1.0,203.0,1.0,,fur_Latn,Friulian,,
facebook/nllb-moe-54b,194,0.9557,203,1.0,203.0,1.0,,fur_Latn,Friulian,,
gemini-3.1-pro-preview,151,0.7438,195,0.9606,74.0,0.3645,75.0,tat_Cyrl,Tatar,ory_Orya,Odia
gemini-3.8-flash,151,0.7438,195,0.9606,74.0,0.3645,75.0,tat_Cyrl,Tatar,ory_Orya,Odia
google/gemma-3-4b-it,151,0.7438,195,0.9606,74.0,0.3645,75.0,tat_Cyrl,Tatar,ory_Orya,Odia
google/gemma-4-E4B-it,151,0.7438,195,0.9606,74.0,0.3645,75.0,tat_Cyrl,Tatar,ory_Orya,Odia
gpt-5,158,0.7783,188,0.9261,62.0,0.3054,63.0,bel_Cyrl,Belarusian,mya_Mymr,Myanmar (Burmese)
gpt-6-astra,158,0.7783,188,0.9261,62.0,0.3054,63.0,bel_Cyrl,Belarusian,mya_Mymr,Myanmar (Burmese)
ibm-granite/granite-4.1-3b,58,0.2857,139,0.6847,19.0,0.0936,20.0,swe_Latn,Swedish,arb_Arab,Standard Arabic
ibm-granite/granite-4.1-8b,58,0.2857,139,0.6847,19.0,0.0936,20.0,swe_Latn,Swedish,arb_Arab,Standard Arabic
meta-llama/Llama-2-7b-hf,97,0.4778,142,0.6995,16.0,0.0788,17.0,vie_Latn,Vietnamese,kor_Hang,Korean
meta-llama/Llama-3.2-3B-Instruct,82,0.4039,166,0.8177,31.0,0.1527,32.0,bul_Cyrl,Bulgarian,heb_Hebr,Hebrew
meta-llama/Llama-3.3-70B-Instruct,82,0.4039,166,0.8177,31.0,0.1527,32.0,bul_Cyrl,Bulgarian,heb_Hebr,Hebrew
meta-llama/Llama-4-Scout-17B-16E-Instruct,131,0.6453,184,0.9064,46.0,0.2266,47.0,als_Latn,Tosk Albanian,tam_Taml,Tamil
meta-models/Muse-Glimmer-30B,131,0.6453,184,0.9064,46.0,0.2266,47.0,als_Latn,Tosk Albanian,tam_Taml,Tamil
microsoft/phi-4,58,0.2857,139,0.6847,19.0,0.0936,20.0,swe_Latn,Swedish,arb_Arab,Standard Arabic
mistralai/Ministral-3-8B-Instruct-2512,113,0.5567,183,0.9015,62.0,0.3054,63.0,bel_Cyrl,Belarusian,mya_Mymr,Myanmar (Burmese)
moonshotai/Kimi-K3,30,0.1478,151,0.7438,15.0,0.0739,16.0,ind_Latn,Indonesian,vie_Latn,Vietnamese
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,113,0.5567,183,0.9015,62.0,0.3054,63.0,bel_Cyrl,Belarusian,mya_Mymr,Myanmar (Burmese)
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,113,0.5567,183,0.9015,62.0,0.3054,63.0,bel_Cyrl,Belarusian,mya_Mymr,Myanmar (Burmese)
openai/gpt-oss-20b,158,0.7783,188,0.9261,62.0,0.3054,63.0,bel_Cyrl,Belarusian,mya_Mymr,Myanmar (Burmese)
tiiuae/Falcon3-7B-Instruct,62,0.3054,125,0.6158,,,,,,,
zai-org/GLM-5.3,76,0.3744,157,0.7734,28.0,0.1379,29.0,fin_Latn,Finnish,tha_Thai,Thai
