model,interval,lang_count
CohereLabs/aya-expanse-8b,"(1.25, 1.50]",25
CohereLabs/aya-expanse-8b,"(1.50, 1.75]",27
CohereLabs/aya-expanse-8b,"(1.75, 2.00]",52
CohereLabs/aya-expanse-8b,"(2.00, 2.25]",24
CohereLabs/aya-expanse-8b,"(2.25, 2.50]",8
CohereLabs/aya-expanse-8b,"(2.50, 2.75]",10
CohereLabs/aya-expanse-8b,"(2.75, 3.00]",3
CohereLabs/aya-expanse-8b,"(3.00, inf)",42
CohereLabs/aya-expanse-8b,"[1.00, 1.25]",12
CohereLabs/c4ai-command-a-03-2025,"(1.25, 1.50]",25
CohereLabs/c4ai-command-a-03-2025,"(1.50, 1.75]",27
CohereLabs/c4ai-command-a-03-2025,"(1.75, 2.00]",52
CohereLabs/c4ai-command-a-03-2025,"(2.00, 2.25]",24
CohereLabs/c4ai-command-a-03-2025,"(2.25, 2.50]",8
CohereLabs/c4ai-command-a-03-2025,"(2.50, 2.75]",10
CohereLabs/c4ai-command-a-03-2025,"(2.75, 3.00]",3
CohereLabs/c4ai-command-a-03-2025,"(3.00, inf)",42
CohereLabs/c4ai-command-a-03-2025,"[1.00, 1.25]",12
CohereLabs/c4ai-command-r-08-2024,"(1.25, 1.50]",25
CohereLabs/c4ai-command-r-08-2024,"(1.50, 1.75]",27
CohereLabs/c4ai-command-r-08-2024,"(1.75, 2.00]",52
CohereLabs/c4ai-command-r-08-2024,"(2.00, 2.25]",24
CohereLabs/c4ai-command-r-08-2024,"(2.25, 2.50]",8
CohereLabs/c4ai-command-r-08-2024,"(2.50, 2.75]",10
CohereLabs/c4ai-command-r-08-2024,"(2.75, 3.00]",3
CohereLabs/c4ai-command-r-08-2024,"(3.00, inf)",42
CohereLabs/c4ai-command-r-08-2024,"[1.00, 1.25]",12
CohereLabs/command-a-plus-05-2026-bf16,"(1.25, 1.50]",24
CohereLabs/command-a-plus-05-2026-bf16,"(1.50, 1.75]",24
CohereLabs/command-a-plus-05-2026-bf16,"(1.75, 2.00]",52
CohereLabs/command-a-plus-05-2026-bf16,"(2.00, 2.25]",38
CohereLabs/command-a-plus-05-2026-bf16,"(2.25, 2.50]",13
CohereLabs/command-a-plus-05-2026-bf16,"(2.50, 2.75]",5
CohereLabs/command-a-plus-05-2026-bf16,"(2.75, 3.00]",11
CohereLabs/command-a-plus-05-2026-bf16,"(3.00, inf)",27
CohereLabs/command-a-plus-05-2026-bf16,"[1.00, 1.25]",9
CohereLabs/tiny-aya-base,"(1.25, 1.50]",44
CohereLabs/tiny-aya-base,"(1.50, 1.75]",40
CohereLabs/tiny-aya-base,"(1.75, 2.00]",33
CohereLabs/tiny-aya-base,"(2.00, 2.25]",17
CohereLabs/tiny-aya-base,"(2.25, 2.50]",9
CohereLabs/tiny-aya-base,"(2.50, 2.75]",5
CohereLabs/tiny-aya-base,"(2.75, 3.00]",5
CohereLabs/tiny-aya-base,"(3.00, inf)",40
CohereLabs/tiny-aya-base,"[1.00, 1.25]",10
Qwen/Qwen3-8B,"(1.25, 1.50]",4
Qwen/Qwen3-8B,"(1.50, 1.75]",33
Qwen/Qwen3-8B,"(1.75, 2.00]",40
Qwen/Qwen3-8B,"(2.00, 2.25]",44
Qwen/Qwen3-8B,"(2.25, 2.50]",16
Qwen/Qwen3-8B,"(2.50, 2.75]",10
Qwen/Qwen3-8B,"(2.75, 3.00]",6
Qwen/Qwen3-8B,"(3.00, inf)",46
Qwen/Qwen3-8B,"[1.00, 1.25]",4
Qwen/Qwen3.6-35B-A3B,"(1.25, 1.50]",21
Qwen/Qwen3.6-35B-A3B,"(1.50, 1.75]",29
Qwen/Qwen3.6-35B-A3B,"(1.75, 2.00]",36
Qwen/Qwen3.6-35B-A3B,"(2.00, 2.25]",36
Qwen/Qwen3.6-35B-A3B,"(2.25, 2.50]",17
Qwen/Qwen3.6-35B-A3B,"(2.50, 2.75]",14
Qwen/Qwen3.6-35B-A3B,"(2.75, 3.00]",5
Qwen/Qwen3.6-35B-A3B,"(3.00, inf)",39
Qwen/Qwen3.6-35B-A3B,"[1.00, 1.25]",6
allenai/Olmo-3-1125-32B,"(1.25, 1.50]",1
allenai/Olmo-3-1125-32B,"(1.50, 1.75]",21
allenai/Olmo-3-1125-32B,"(1.75, 2.00]",35
allenai/Olmo-3-1125-32B,"(2.00, 2.25]",40
allenai/Olmo-3-1125-32B,"(2.25, 2.50]",24
allenai/Olmo-3-1125-32B,"(2.50, 2.75]",6
allenai/Olmo-3-1125-32B,"(2.75, 3.00]",11
allenai/Olmo-3-1125-32B,"(3.00, inf)",64
allenai/Olmo-3-1125-32B,"[1.00, 1.25]",1
allenai/Olmo-3.1-32B-Instruct,"(1.25, 1.50]",1
allenai/Olmo-3.1-32B-Instruct,"(1.50, 1.75]",21
allenai/Olmo-3.1-32B-Instruct,"(1.75, 2.00]",35
allenai/Olmo-3.1-32B-Instruct,"(2.00, 2.25]",40
allenai/Olmo-3.1-32B-Instruct,"(2.25, 2.50]",24
allenai/Olmo-3.1-32B-Instruct,"(2.50, 2.75]",6
allenai/Olmo-3.1-32B-Instruct,"(2.75, 3.00]",11
allenai/Olmo-3.1-32B-Instruct,"(3.00, inf)",64
allenai/Olmo-3.1-32B-Instruct,"[1.00, 1.25]",1
claude-fable-5,"(1.25, 1.50]",22
claude-fable-5,"(1.50, 1.75]",46
claude-fable-5,"(1.75, 2.00]",62
claude-fable-5,"(2.00, 2.25]",21
claude-fable-5,"(2.25, 2.50]",19
claude-fable-5,"(2.50, 2.75]",6
claude-fable-5,"(2.75, 3.00]",3
claude-fable-5,"(3.00, inf)",20
claude-fable-5,"[1.00, 1.25]",4
claude-opus-4-8,"(1.25, 1.50]",22
claude-opus-4-8,"(1.50, 1.75]",46
claude-opus-4-8,"(1.75, 2.00]",62
claude-opus-4-8,"(2.00, 2.25]",21
claude-opus-4-8,"(2.25, 2.50]",19
claude-opus-4-8,"(2.50, 2.75]",6
claude-opus-4-8,"(2.75, 3.00]",3
claude-opus-4-8,"(3.00, inf)",20
claude-opus-4-8,"[1.00, 1.25]",4
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,"(3.00, inf)",202
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,"[1.00, 1.25]",1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,"(3.00, inf)",202
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,"[1.00, 1.25]",1
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,"(1.25, 1.50]",4
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,"(1.50, 1.75]",33
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,"(1.75, 2.00]",40
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,"(2.00, 2.25]",44
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,"(2.25, 2.50]",16
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,"(2.50, 2.75]",10
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,"(2.75, 3.00]",6
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,"(3.00, inf)",46
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,"[1.00, 1.25]",4
deepseek-ai/DeepSeek-V4-Flash,"(1.25, 1.50]",4
deepseek-ai/DeepSeek-V4-Flash,"(1.50, 1.75]",29
deepseek-ai/DeepSeek-V4-Flash,"(1.75, 2.00]",30
deepseek-ai/DeepSeek-V4-Flash,"(2.00, 2.25]",49
deepseek-ai/DeepSeek-V4-Flash,"(2.25, 2.50]",25
deepseek-ai/DeepSeek-V4-Flash,"(2.50, 2.75]",9
deepseek-ai/DeepSeek-V4-Flash,"(2.75, 3.00]",12
deepseek-ai/DeepSeek-V4-Flash,"(3.00, inf)",41
deepseek-ai/DeepSeek-V4-Flash,"[1.00, 1.25]",4
deepseek-ai/DeepSeek-V4.1-Flash,"(1.25, 1.50]",4
deepseek-ai/DeepSeek-V4.1-Flash,"(1.50, 1.75]",29
deepseek-ai/DeepSeek-V4.1-Flash,"(1.75, 2.00]",30
deepseek-ai/DeepSeek-V4.1-Flash,"(2.00, 2.25]",49
deepseek-ai/DeepSeek-V4.1-Flash,"(2.25, 2.50]",25
deepseek-ai/DeepSeek-V4.1-Flash,"(2.50, 2.75]",9
deepseek-ai/DeepSeek-V4.1-Flash,"(2.75, 3.00]",12
deepseek-ai/DeepSeek-V4.1-Flash,"(3.00, inf)",41
deepseek-ai/DeepSeek-V4.1-Flash,"[1.00, 1.25]",4
facebook/nllb-200-3.3B,"(1.25, 1.50]",117
facebook/nllb-200-3.3B,"(1.50, 1.75]",40
facebook/nllb-200-3.3B,"(1.75, 2.00]",9
facebook/nllb-200-3.3B,"(2.00, 2.25]",6
facebook/nllb-200-3.3B,"(2.50, 2.75]",3
facebook/nllb-200-3.3B,"[1.00, 1.25]",28
facebook/nllb-moe-54b,"(1.25, 1.50]",117
facebook/nllb-moe-54b,"(1.50, 1.75]",40
facebook/nllb-moe-54b,"(1.75, 2.00]",9
facebook/nllb-moe-54b,"(2.00, 2.25]",6
facebook/nllb-moe-54b,"(2.50, 2.75]",3
facebook/nllb-moe-54b,"[1.00, 1.25]",28
gemini-3.1-pro-preview,"(1.25, 1.50]",39
gemini-3.1-pro-preview,"(1.50, 1.75]",43
gemini-3.1-pro-preview,"(1.75, 2.00]",60
gemini-3.1-pro-preview,"(2.00, 2.25]",24
gemini-3.1-pro-preview,"(2.25, 2.50]",12
gemini-3.1-pro-preview,"(2.50, 2.75]",4
gemini-3.1-pro-preview,"(2.75, 3.00]",4
gemini-3.1-pro-preview,"(3.00, inf)",8
gemini-3.1-pro-preview,"[1.00, 1.25]",9
gemini-3.8-flash,"(1.25, 1.50]",39
gemini-3.8-flash,"(1.50, 1.75]",43
gemini-3.8-flash,"(1.75, 2.00]",60
gemini-3.8-flash,"(2.00, 2.25]",24
gemini-3.8-flash,"(2.25, 2.50]",12
gemini-3.8-flash,"(2.50, 2.75]",4
gemini-3.8-flash,"(2.75, 3.00]",4
gemini-3.8-flash,"(3.00, inf)",8
