model,iso_script,name,token_ratio
gemini-3.8-flash,ace_Arab,Achinese,2.175676178429257
claude-fable-5,ace_Arab,Achinese,2.380205649218386
CohereLabs/tiny-aya-base,ace_Arab,Achinese,2.4591710372960374
mistralai/Ministral-3-8B-Instruct-2512,ace_Arab,Achinese,2.463243345289787
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,ace_Arab,Achinese,2.463243345289787
gpt-6-astra,ace_Arab,Achinese,2.5955614701162473
Qwen/Qwen3-8B,ace_Arab,Achinese,2.633057914175837
meta-models/Muse-Glimmer-30B,ace_Arab,Achinese,2.6804821150855367
zai-org/GLM-5.3,ace_Arab,Achinese,2.695912263210369
CohereLabs/c4ai-command-a-03-2025,ace_Arab,Achinese,2.734415317303018
deepseek-ai/DeepSeek-V4.1-Flash,ace_Arab,Achinese,2.810695923241974
CohereLabs/command-a-plus-05-2026-bf16,ace_Arab,Achinese,2.8405293035899897
meta-llama/Llama-3.3-70B-Instruct,ace_Arab,Achinese,2.8473643410852714
Qwen/Qwen3.6-35B-A3B,ace_Arab,Achinese,2.8649673977474808
moonshotai/Kimi-K3,ace_Arab,Achinese,3.2477287546185614
tiiuae/Falcon3-7B-Instruct,ace_Arab,Achinese,3.727255896619395
allenai/Olmo-3.1-32B-Instruct,ace_Arab,Achinese,3.7557053740943083
ibm-granite/granite-4.1-8b,ace_Arab,Achinese,3.7557053740943083
microsoft/phi-4,ace_Arab,Achinese,3.7557053740943083
meta-llama/Llama-2-7b-hf,ace_Arab,Achinese,3.8370360732524476
CohereLabs/tiny-aya-base,ace_Latn,Achinese,1.6864801864801864
gemini-3.8-flash,ace_Latn,Achinese,1.7613006436251348
claude-fable-5,ace_Latn,Achinese,1.7684605757196497
CohereLabs/c4ai-command-a-03-2025,ace_Latn,Achinese,1.769642122583299
meta-models/Muse-Glimmer-30B,ace_Latn,Achinese,1.7965396578538102
gpt-6-astra,ace_Latn,Achinese,1.7978785862460371
CohereLabs/command-a-plus-05-2026-bf16,ace_Latn,Achinese,1.8282161989285999
mistralai/Ministral-3-8B-Instruct-2512,ace_Latn,Achinese,1.8468189541249764
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,ace_Latn,Achinese,1.8468189541249764
meta-llama/Llama-2-7b-hf,ace_Latn,Achinese,1.8562924893471684
Qwen/Qwen3.6-35B-A3B,ace_Latn,Achinese,1.8920766646907725
tiiuae/Falcon3-7B-Instruct,ace_Latn,Achinese,1.9398304143370237
Qwen/Qwen3-8B,ace_Latn,Achinese,1.9461599969538894
meta-llama/Llama-3.3-70B-Instruct,ace_Latn,Achinese,1.955968992248062
allenai/Olmo-3.1-32B-Instruct,ace_Latn,Achinese,1.9767135495369832
ibm-granite/granite-4.1-8b,ace_Latn,Achinese,1.9767135495369832
microsoft/phi-4,ace_Latn,Achinese,1.9767135495369832
zai-org/GLM-5.3,ace_Latn,Achinese,2.0063010967098704
deepseek-ai/DeepSeek-V4.1-Flash,ace_Latn,Achinese,2.012671551759038
moonshotai/Kimi-K3,ace_Latn,Achinese,2.2405564007824386
CohereLabs/tiny-aya-base,acm_Arab,Mesopotamian Arabic,1.2694493006993006
mistralai/Ministral-3-8B-Instruct-2512,acm_Arab,Mesopotamian Arabic,1.2700774023031904
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,acm_Arab,Mesopotamian Arabic,1.2700774023031904
CohereLabs/command-a-plus-05-2026-bf16,acm_Arab,Mesopotamian Arabic,1.3617574158471255
gpt-6-astra,acm_Arab,Mesopotamian Arabic,1.3914830326040157
Qwen/Qwen3.6-35B-A3B,acm_Arab,Mesopotamian Arabic,1.4148587235724166
gemini-3.8-flash,acm_Arab,Mesopotamian Arabic,1.4448454183563377
CohereLabs/c4ai-command-a-03-2025,acm_Arab,Mesopotamian Arabic,1.459593882053775
meta-models/Muse-Glimmer-30B,acm_Arab,Mesopotamian Arabic,1.5948678071539657
Qwen/Qwen3-8B,acm_Arab,Mesopotamian Arabic,1.6277652971861554
meta-llama/Llama-3.3-70B-Instruct,acm_Arab,Mesopotamian Arabic,1.6535658914728681
deepseek-ai/DeepSeek-V4.1-Flash,acm_Arab,Mesopotamian Arabic,1.6871786567345453
claude-fable-5,acm_Arab,Mesopotamian Arabic,1.7895408476281627
zai-org/GLM-5.3,acm_Arab,Mesopotamian Arabic,1.8110069790628116
moonshotai/Kimi-K3,acm_Arab,Mesopotamian Arabic,2.285981308411215
allenai/Olmo-3.1-32B-Instruct,acm_Arab,Mesopotamian Arabic,2.9839978302142662
ibm-granite/granite-4.1-8b,acm_Arab,Mesopotamian Arabic,2.9839978302142662
microsoft/phi-4,acm_Arab,Mesopotamian Arabic,2.9839978302142662
tiiuae/Falcon3-7B-Instruct,acm_Arab,Mesopotamian Arabic,3.1524049320546523
meta-llama/Llama-2-7b-hf,acm_Arab,Mesopotamian Arabic,3.216829847444947
mistralai/Ministral-3-8B-Instruct-2512,acq_Arab,Ta'Izzi-Adeni Arabic,1.2641117613743629
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,acq_Arab,Ta'Izzi-Adeni Arabic,1.2641117613743629
CohereLabs/tiny-aya-base,acq_Arab,Ta'Izzi-Adeni Arabic,1.2803758741258742
CohereLabs/command-a-plus-05-2026-bf16,acq_Arab,Ta'Izzi-Adeni Arabic,1.3592388262572959
gpt-6-astra,acq_Arab,Ta'Izzi-Adeni Arabic,1.3897608516967397
Qwen/Qwen3.6-35B-A3B,acq_Arab,Ta'Izzi-Adeni Arabic,1.4126062043074492
gemini-3.8-flash,acq_Arab,Ta'Izzi-Adeni Arabic,1.445180252241527
CohereLabs/c4ai-command-a-03-2025,acq_Arab,Ta'Izzi-Adeni Arabic,1.4629595003926554
meta-models/Muse-Glimmer-30B,acq_Arab,Ta'Izzi-Adeni Arabic,1.597433903576983
Qwen/Qwen3-8B,acq_Arab,Ta'Izzi-Adeni Arabic,1.6279556790922591
meta-llama/Llama-3.3-70B-Instruct,acq_Arab,Ta'Izzi-Adeni Arabic,1.6572868217054264
deepseek-ai/DeepSeek-V4.1-Flash,acq_Arab,Ta'Izzi-Adeni Arabic,1.6877454354074735
claude-fable-5,acq_Arab,Ta'Izzi-Adeni Arabic,1.805492159316793
zai-org/GLM-5.3,acq_Arab,Ta'Izzi-Adeni Arabic,1.8173479561316053
moonshotai/Kimi-K3,acq_Arab,Ta'Izzi-Adeni Arabic,2.29463160182569
allenai/Olmo-3.1-32B-Instruct,acq_Arab,Ta'Izzi-Adeni Arabic,2.9981401836568637
ibm-granite/granite-4.1-8b,acq_Arab,Ta'Izzi-Adeni Arabic,2.9981401836568637
microsoft/phi-4,acq_Arab,Ta'Izzi-Adeni Arabic,2.9981401836568637
tiiuae/Falcon3-7B-Instruct,acq_Arab,Ta'Izzi-Adeni Arabic,3.1856555707779464
meta-llama/Llama-2-7b-hf,acq_Arab,Ta'Izzi-Adeni Arabic,3.2542692645480273
mistralai/Ministral-3-8B-Instruct-2512,aeb_Arab,Tunisian Arabic,1.3134226920898622
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,aeb_Arab,Tunisian Arabic,1.3134226920898622
CohereLabs/tiny-aya-base,aeb_Arab,Tunisian Arabic,1.3197115384615385
CohereLabs/command-a-plus-05-2026-bf16,aeb_Arab,Tunisian Arabic,1.4142080434956423
gpt-6-astra,aeb_Arab,Tunisian Arabic,1.427922814982974
Qwen/Qwen3.6-35B-A3B,aeb_Arab,Tunisian Arabic,1.4505038529934795
