iso_script,name,model_rank1,model_rank2,model_rank3
ace_Arab,Achinese,gemini-3.8-flash, claude-fable-5, CohereLabs/tiny-aya-base
ace_Latn,Achinese,CohereLabs/tiny-aya-base, gemini-3.8-flash, claude-fable-5
acm_Arab,Mesopotamian Arabic,CohereLabs/tiny-aya-base, mistralai/Ministral-3-8B-Instruct-2512, nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4
acq_Arab,Ta'Izzi-Adeni Arabic,mistralai/Ministral-3-8B-Instruct-2512, nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4, CohereLabs/tiny-aya-base
aeb_Arab,Tunisian Arabic,mistralai/Ministral-3-8B-Instruct-2512, nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4, CohereLabs/tiny-aya-base
afr_Latn,Afrikaans,gpt-6-astra, CohereLabs/tiny-aya-base, CohereLabs/c4ai-command-a-03-2025
aka_Latn,Twi,gpt-6-astra, gemini-3.8-flash, meta-llama/Llama-2-7b-hf
als_Latn,Tosk Albanian,meta-models/Muse-Glimmer-30B, claude-fable-5, gpt-6-astra
amh_Ethi,Amharic,gemini-3.8-flash, CohereLabs/tiny-aya-base, meta-models/Muse-Glimmer-30B
apc_Arab,North Levantine Arabic,mistralai/Ministral-3-8B-Instruct-2512, nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4, CohereLabs/tiny-aya-base
arb_Arab,Standard Arabic,mistralai/Ministral-3-8B-Instruct-2512, nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4, CohereLabs/tiny-aya-base
arb_Latn,Standard Arabic,claude-fable-5, CohereLabs/tiny-aya-base, gpt-6-astra
ars_Arab,Najdi Arabic,mistralai/Ministral-3-8B-Instruct-2512, nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4, CohereLabs/tiny-aya-base
ary_Arab,Moroccan Arabic,CohereLabs/tiny-aya-base, mistralai/Ministral-3-8B-Instruct-2512, nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4
arz_Arab,Egyptian Arabic,CohereLabs/tiny-aya-base, mistralai/Ministral-3-8B-Instruct-2512, nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4
asm_Beng,Assamese,gemini-3.8-flash, gpt-6-astra, deepseek-ai/DeepSeek-V4.1-Flash
ast_Latn,Asturian,CohereLabs/c4ai-command-a-03-2025, CohereLabs/tiny-aya-base, claude-fable-5
awa_Deva,Awadhi,gemini-3.8-flash, gpt-6-astra, meta-models/Muse-Glimmer-30B
ayr_Latn,Central Aymara,claude-fable-5, CohereLabs/tiny-aya-base, gpt-6-astra
azb_Arab,South Azerbaijani,gemini-3.8-flash, CohereLabs/tiny-aya-base, mistralai/Ministral-3-8B-Instruct-2512
azj_Latn,North Azerbaijani,gpt-6-astra, mistralai/Ministral-3-8B-Instruct-2512, nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4
bak_Cyrl,Bashkir,gpt-6-astra, claude-fable-5, gemini-3.8-flash
bam_Latn,Bambara,meta-llama/Llama-2-7b-hf, gpt-6-astra, gemini-3.8-flash
ban_Latn,Balinese,CohereLabs/tiny-aya-base, gemini-3.8-flash, CohereLabs/c4ai-command-a-03-2025
bel_Cyrl,Belarusian,claude-fable-5, gpt-6-astra, gemini-3.8-flash
bem_Latn,Bemba,CohereLabs/tiny-aya-base, gpt-6-astra, gemini-3.8-flash
ben_Beng,Bengali,gemini-3.8-flash, gpt-6-astra, CohereLabs/command-a-plus-05-2026-bf16
bho_Deva,Bhojpuri,gemini-3.8-flash, gpt-6-astra, meta-models/Muse-Glimmer-30B
bjn_Arab,Banjar,gemini-3.8-flash, CohereLabs/tiny-aya-base, claude-fable-5
bjn_Latn,Banjar,CohereLabs/tiny-aya-base, gemini-3.8-flash, CohereLabs/command-a-plus-05-2026-bf16
bod_Tibt,Tibetan,gemini-3.8-flash, claude-fable-5, moonshotai/Kimi-K3
bos_Latn,Bosnian,CohereLabs/tiny-aya-base, gemini-3.8-flash, claude-fable-5
bug_Latn,Buginese,claude-fable-5, CohereLabs/tiny-aya-base, gemini-3.8-flash
bul_Cyrl,Bulgarian,claude-fable-5, meta-models/Muse-Glimmer-30B, CohereLabs/tiny-aya-base
cat_Latn,Catalan,claude-fable-5, mistralai/Ministral-3-8B-Instruct-2512, nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4
