model,max_min_ratio_5,max_min_ratio_10,max_min_ratio_20,max_min_ratio_50,max_min_ratio_100,max_min_ratio_150,max_min_ratio_200,max_min_ratio_203
facebook/nllb-moe-54b,1.4,1.4,1.5,2.0,2.0,2.0,2.7,2.7
facebook/nllb-200-3.3B,1.4,1.4,1.5,2.0,2.0,2.0,2.7,2.7
gemini-3.8-flash,1.4,1.4,1.6,2.3,3.4,4.1,5.1,5.1
gemini-3.1-pro-preview,1.4,1.4,1.6,2.3,3.4,4.1,5.1,5.1
google/gemma-4-E4B-it,1.4,1.4,1.6,2.3,3.4,4.1,5.1,5.1
google/gemma-3-4b-it,1.4,1.4,1.6,2.3,3.4,4.1,5.1,5.1
claude-opus-4-8,1.7,1.7,1.8,3.0,6.3,6.3,9.3,9.3
claude-fable-5,1.7,1.7,1.8,3.0,6.3,6.3,9.3,9.3
meta-models/Muse-Glimmer-30B,1.3,1.3,1.6,3.7,8.5,8.5,9.5,9.5
meta-llama/Llama-4-Scout-17B-16E-Instruct,1.3,1.3,1.6,3.7,8.5,8.5,9.5,9.5
Qwen/Qwen3-8B,1.8,1.8,2.5,6.1,9.8,9.8,10.5,10.5
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1.8,1.8,2.5,6.1,9.8,9.8,10.5,10.5
deepseek-ai/DeepSeek-V4-Flash,1.6,1.7,2.3,4.1,8.3,8.3,10.6,10.6
deepseek-ai/DeepSeek-V4.1-Flash,1.6,1.7,2.3,4.1,8.3,8.3,10.6,10.6
moonshotai/Kimi-K3,2.1,2.3,3.1,4.8,7.4,7.4,11.3,11.3
meta-llama/Llama-2-7b-hf,2.2,2.2,3.3,5.6,11.2,11.2,11.5,11.5
CohereLabs/aya-expanse-8b,1.3,1.3,1.6,6.2,9.7,9.7,12.2,12.2
CohereLabs/c4ai-command-a-03-2025,1.3,1.3,1.6,6.2,9.7,9.7,12.2,12.2
CohereLabs/c4ai-command-r-08-2024,1.3,1.3,1.6,6.2,9.7,9.7,12.2,12.2
Qwen/Qwen3.6-35B-A3B,1.4,1.5,1.9,4.2,5.9,8.8,13.1,13.1
zai-org/GLM-5.3,1.5,1.6,2.0,7.8,12.8,12.8,13.2,13.2
openai/gpt-oss-20b,1.7,1.7,1.8,2.2,8.3,9.2,13.8,13.8
gpt-6-astra,1.7,1.7,1.8,2.2,8.3,9.2,13.8,13.8
gpt-5,1.7,1.7,1.8,2.2,8.3,9.2,13.8,13.8
CohereLabs/command-a-plus-05-2026-bf16,1.5,1.5,1.9,4.7,11.0,11.0,14.2,14.2
meta-llama/Llama-3.3-70B-Instruct,1.6,1.6,1.9,9.8,12.2,12.4,14.8,14.8
meta-llama/Llama-3.2-3B-Instruct,1.6,1.6,1.9,9.8,12.2,12.4,14.8,14.8
mistralai/Ministral-3-8B-Instruct-2512,1.6,1.6,1.7,2.4,14.9,14.9,14.9,14.9
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,1.6,1.6,1.7,2.4,14.9,14.9,14.9,14.9
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,1.6,1.6,1.7,2.4,14.9,14.9,14.9,14.9
allenai/Olmo-3-1125-32B,2.5,2.5,3.0,9.8,12.5,12.5,15.0,15.0
ibm-granite/granite-4.1-8b,2.5,2.5,3.0,9.8,12.5,12.5,15.0,15.0
allenai/Olmo-3.1-32B-Instruct,2.5,2.5,3.0,9.8,12.5,12.5,15.0,15.0
ibm-granite/granite-4.1-3b,2.5,2.5,3.0,9.8,12.5,12.5,15.0,15.0
microsoft/phi-4,2.5,2.5,3.0,9.8,12.5,12.5,15.0,15.0
CohereLabs/tiny-aya-base,1.5,1.5,1.5,12.8,12.8,16.1,16.1,16.1
tiiuae/Falcon3-7B-Instruct,4.4,4.4,4.5,9.4,12.7,17.0,17.0,17.0
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,55.9,55.9,61.1,68.5,68.5,840.3,840.3,840.3
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,31.7,32.7,36.4,43.1,56.9,840.9,840.9,840.9
